,question_id,question,relevant_articles,question_length,num_articles,relevant_titles
3151,9834c9b237b20b462b24d27444815276,"Chế độ thông tin, báo cáo của Hội đồng quản lý trong đơn vị sự nghiệp công lập thuộc ngành nông nghiệp và phát triển nông thôn quy định như thế nào?","[{'law_id': '41/2018/tt-bnnptnt', 'article_id': '20'}]",32,1,['41/2018/tt-bnnptnt']
1762,17ad1d214574712182c1be8e1ac35b0d,Thanh toán giá trị chuyển nhượng dự án đầu tư giữa các nhà đầu tư trong hợp đồng BCC được quy định như thế nào?,"[{'law_id': '06/2019/tt-nhnn', 'article_id': '10'}]",25,1,['06/2019/tt-nhnn']
1490,966a6b7a825cebc044573995d43ccde8,Mức phạt khi không thực hiện đầy đủ các nội dung quy định trong quy trình quản lý đường bộ đã được phê duyệt,"[{'law_id': '100/2019/nđ-cp', 'article_id': '15'}]",24,1,['100/2019/nđ-cp']
1171,1671f5975fc66940fd05d01ac0fd2214,"Mức chi thuê chuyên gia tư vấn ứng cứu sự cố, bảo đảm an toàn thông tin mạng được quy định như thế nào?","[{'law_id': '121/2018/tt-btc', 'article_id': '6'}]",24,1,['121/2018/tt-btc']
3137,2c8bb1046fb9e2f562c1948eb0f3acaa,"Trình tự cấp lại Giấy phép kinh doanh vận tải do bị thu hồi, bị tước quyền sử dụng được quy định như thế nào?","[{'law_id': '10/2020/nđ-cp', 'article_id': '19'}]",25,1,['10/2020/nđ-cp']
2071,b7b120448c7d711364e4f17bae02f289,Trách nhiệm của Thanh tra Chính phủ về công tác giải quyết tố cáo trong Quân đội nhân dân được quy định như thế nào?,"[{'law_id': '28/2019/nđ-cp', 'article_id': '18'}]",25,1,['28/2019/nđ-cp']
2708,3f4d84c06250bdcf8c8a36b44a31efa9,"Nghiệm thu, bàn giao dự án, hạng mục khắc phục hậu quả bom mìn vật nổ sau chiến tranh theo quy định hiện hành","[{'law_id': '18/2019/nđ-cp', 'article_id': '24'}]",24,1,['18/2019/nđ-cp']
2585,bbc884e6b942a0a9e6e3f98ca2adcfa7,Mức phạt nhân viên phục vụ trên xe buýt sang nhượng khách dọc đường cho xe khác mà không được đồng ý được quy định như thế nào?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '31'}]",28,1,['100/2019/nđ-cp']
2365,dd757198d07165a2733d7459f51b7b6e,Vị trí và chức năng của bảo hiểm xã hội Việt Nam được quy định như thế nào?,"[{'law_id': '89/2020/nđ-cp', 'article_id': '1'}]",18,1,['89/2020/nđ-cp']
2425,8f609ef012246b7ca5b6393d59e6682e,Nguyên tắc quản lý và sử dụng kinh phí từ nguồn ngân sách nhà nước để thực hiện hoạt động sáng kiến theo quy định pháp luật.,"[{'law_id': '03/2019/tt-btc', 'article_id': '3'}]",27,1,['03/2019/tt-btc']
405,4d23015f30e05fcd3c264a02bb1d7010,Như thế nào được gọi là cổ phiếu đã phát hành?,"[{'law_id': '155/2020/nđ-cp', 'article_id': '3'}]",11,1,['155/2020/nđ-cp']
757,f9ef21504fbc9d62ab42990a267a9087,Điều khiển xe máy chuyên dùng không có bằng lái bị phạt bao nhiêu tiền?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '22'}]",15,1,['100/2019/nđ-cp']
2656,f8d0cda1debaca435e548b966d854e5b,Mức tiêu chuẩn khí thải đối với xe ô tô là gì?,"[{'law_id': '16/2019/qđ-ttg', 'article_id': '3'}]",12,1,['16/2019/qđ-ttg']
2332,ded42b9ef10ef9b03eb54beb36ed1671,Sỹ quan boong tàu từ 500 GT trở lên cần đáp ứng thời gian đảm nhiệm chức danh như thế nào?,"[{'law_id': '03/2020/tt-bgtvt', 'article_id': '28'}]",21,1,['03/2020/tt-bgtvt']
2097,9abc26c11094d48121176a79429bdabc,Mức phạt đối với hành vi chuyển mục đích sử dụng rừng đặc dụng có diện tích từ 400 m2 đến dưới 800 m2 không đúng quy định được quy định như thế nào?,"[{'law_id': '35/2019/nđ-cp', 'article_id': '12'}]",34,1,['35/2019/nđ-cp']
97,cb82d40effc5183b49443259d65e882d,"Mức phạt khi làm sai lệch biển báo hiệu, đèn tín hiệu giao thông","[{'law_id': '100/2019/nđ-cp', 'article_id': '15'}]",14,1,['100/2019/nđ-cp']
1333,8bee45b28121395b070d8d89186c354a,Chuẩn bị hồ sơ dự thầu dự án PPP trong thời gian bao lâu?,"[{'law_id': '25/2020/nđ-cp', 'article_id': '6'}]",14,1,['25/2020/nđ-cp']
2679,c1134b1952f30c09c077a975842b2f33,Thực hiện dân chủ trong cơ sở giáo dục công lập thì người đứng đầu đoàn thể có những trách nhiệm nào?,"[{'law_id': '11/2020/tt-bgdđt', 'article_id': '8'}]",22,1,['11/2020/tt-bgdđt']
743,b1e0b586eb09e0d3af0d4c981dee63b6,Mức phạt đối với hành vi làm sai lệch phiếu kết quả kiểm nghiệm an toàn thực phẩm được quy định như thế nào?,"[{'law_id': '115/2018/nđ-cp', 'article_id': '24'}]",24,1,['115/2018/nđ-cp']
806,be3ade8f5cffb3bc4b815a52d2934410,"Mức phạt nếu tài xế xe khách chở động vật, hàng hóa có ảnh hưởng đến sức khỏe của hành khách là bao nhiêu?","[{'law_id': '100/2019/nđ-cp', 'article_id': '23'}]",24,1,['100/2019/nđ-cp']
2952,98ad87f7bdb494412064dc0e583d41f6,"Chi tổ chức các hội nghị cho Đề án Hỗ trợ học sinh, sinh viên khởi nghiệp đến năm 2025 được quy định như thế nào?","[{'law_id': '126/2018/tt-btc', 'article_id': '4'}]",26,1,['126/2018/tt-btc']
2107,feec53ac01a56aff60b3880a83fa8e3d,Người hoạt động thư viện trong thư viện đại học phải đảm bảo các yêu cầu gì?,"[{'law_id': '93/2020/nđ-cp', 'article_id': '16'}]",17,1,['93/2020/nđ-cp']
2664,267cb68c2dd10748e738b417013d6de3,Nghĩa vụ thông báo tình hình chấp hành của người được hưởng án treo được quy định như thế nào?,"[{'law_id': '41/2019/qh14', 'article_id': '87'}]",20,1,['41/2019/qh14']
1535,8fadf3613d93bbc67da1ed006434c5d6,Hồ sơ đăng ký trở thành thành viên lưu ký của Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam gồm những gì?,"[{'law_id': '155/2020/nđ-cp', 'article_id': '158'}]",26,1,['155/2020/nđ-cp']
2287,a5d355919cffb2b70c127b0f6e9a7850,Nơi gửi báo cáo của HTX nông nghiệp về tình hình hoạt động của chính mình thì gửi báo cáo về đâu?,"[{'law_id': '06/2019/tt-bnnptnt', 'article_id': '6'}]",22,1,['06/2019/tt-bnnptnt']
2250,8f663ceda3550e504c73a6316e8c1548,Có phạt xe chở vật liệu quá tải cho công trình đang thi công?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '24'}]",14,1,['100/2019/nđ-cp']
2498,66854fbdb54f829eb9fd6dc44df91ce8,Mức phạt đối với hành vi chuyển mục đích sử dụng rừng sản xuất có diện tích 10.000 m2 trở lên không đúng quy định được quy định như thế nào?,"[{'law_id': '35/2019/nđ-cp', 'article_id': '12'}]",31,1,['35/2019/nđ-cp']
148,17e5d2344608ff3f096a0ff76e6620bf,Đổi tên trường cao đẳng nghề có phải làm lại giấy đăng ký hoạt động dạy nghề không?,"[{'law_id': '140/2018/nđ-cp', 'article_id': '5'}]",18,1,['140/2018/nđ-cp']
3088,13dee360e603401661e647ff08ce7812,02 hoạt động liên quan vùng đất ngập nước được nhà nước đảm bảo ngân sách chi thường xuyên được quy định như thế nào?,"[{'law_id': '66/2019/nđ-cp', 'article_id': '27'}]",25,1,['66/2019/nđ-cp']
2923,7422f3055cd5eb06210a9efce61f164d,Nhân viên phục vụ xe khách bắt ép hành khách sử dụng dịch vụ ngoài ý muốn bị phạt bao nhiêu tiền?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '31'}]",22,1,['100/2019/nđ-cp']
2110,cf060f42eaa0a6f9b5df2ea42a76dff0,Mức phạt đối với hành vi tự ý thay đổi giá mua bán hàng dự trữ quốc gia để trục lợi được quy định như thế nào?,"[{'law_id': '63/2019/nđ-cp', 'article_id': '40'}]",27,1,['63/2019/nđ-cp']
1315,fad1bbcb2a9ff05347a872580e047726,"Khai thác, sử dụng thông tin, dữ liệu về nhà ở và thị trường bất động sản theo hình thức hợp đồng được quy định như thế nào?","[{'law_id': '27/2016/tt-bxd', 'article_id': '16'}]",28,1,['27/2016/tt-bxd']
692,3d25fa4bd772f552134a5d8488a59f30,"Thời điểm xây dựng đề cương lập báo cáo ĐMC, lập báo cáo ĐTM được quy định như thế nào?","[{'law_id': '18/2016/tt-bnnptnt', 'article_id': '4'}]",20,1,['18/2016/tt-bnnptnt']
818,506d7bf7dd148083c9f95db7a0822448,Đối tượng không áp dụng hình thức kỷ luật giáng cấp bậc quân hàm được quy định như thế nào?,"[{'law_id': '16/2020/tt-bqp', 'article_id': '4'}]",20,1,['16/2020/tt-bqp']
1728,a50dd37d818965b79bade1fdf7b2b5ff,Quyết định ấn định thuế theo Nghị định 126 năm 2020 quy định như thế nào?,"[{'law_id': '126/2020/nđ-cp', 'article_id': '16'}]",16,1,['126/2020/nđ-cp']
1386,f16de542d7937d1d55bb09be334a4e44,Mức xử phạt đối với hành vi cá nhân hoạt động kiểm định kỹ thuật an toàn lao động khi không có chứng chỉ kiểm định viên được quy định như thế nào?,"[{'law_id': '28/2020/nđ-cp', 'article_id': '25'}]",33,1,['28/2020/nđ-cp']
1845,0ccc0e982b2219cee4e65a12730e5d60,Giá trị đề nghị trúng thầu dự án đầu tư có sử dụng đất phải đáp ứng yêu cầu nào?,"[{'law_id': '25/2020/nđ-cp', 'article_id': '56'}]",20,1,['25/2020/nđ-cp']
3143,24695ba9849ffd12689624de2e8d43a2,Cơ quan cấp giấy tờ xuất nhập cảnh được quyền khai thác các thông tin gì trong cơ sở dữ liệu quốc gia về xuất nhập cảnh?,"[{'law_id': '77/2020/nđ-cp', 'article_id': '6'}]",27,1,['77/2020/nđ-cp']
2194,7530f78d314c6443db5e5d12598a6c4e,"Quy định về điều kiện đảm nhiệm chức danh thuyền trưởng, đại phó tàu từ 500 GT đến dưới 3000 GT được quy định như thế nào?","[{'law_id': '03/2020/tt-bgtvt', 'article_id': '25'}]",27,1,['03/2020/tt-bgtvt']
1599,4e1fcddaf5136c0981398b6855bd9549,"Mức phạt khi thông báo tuyển sinh, công bố đề án tuyển sinh không đúng là bao nhiêu?","[{'law_id': '04/2021/nđ-cp', 'article_id': '8'}]",18,1,['04/2021/nđ-cp']
2517,74bc2ec0cc6020d68d73881760433412,Mức phạt khi dừng xe ô tô bên trái đường một chiều của đường đôi,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",15,1,['100/2019/nđ-cp']
2618,9398acc685b0455cf756e1bc3687780d,"Trình tự, thủ tục công ty đại chúng phát hành cổ phiếu để chuyển đổi trái phiếu chuyển đổi được quy định như thế nào?","[{'law_id': '155/2020/nđ-cp', 'article_id': '67'}]",25,1,['155/2020/nđ-cp']
701,d849247cce820df9d6c487916b038a6f,Được xem là doanh nghiệp nhà nước khi nhà nước nắm giữ 51% vốn điều lệ trong doanh nghiệp không?,"[{'law_id': '59/2020/qh14', 'article_id': '88'}]",20,1,['59/2020/qh14']
1499,957060b6b1ee39391c5d10968c8015dc,"Theo quy định của pháp luật, hợp đồng hợp tác là gì?","[{'law_id': '91/2015/qh13', 'article_id': '504'}]",12,1,['91/2015/qh13']
2831,f903d87a7a34d0bb7a5cf1d856e90043,Chứng nhận xuất xứ hàng hóa theo GSP là gì?,"[{'law_id': '38/2018/tt-bct', 'article_id': '3'}]",10,1,['38/2018/tt-bct']
921,13ad222895d282284bc2f1cd48438f4b,Doanh nghiệp được tiết lộ thông tin cá nhân của người sử dụng thông tin trên mạng khi nào?,"[{'law_id': '72/2013/nđ-cp', 'article_id': '21'}]",19,1,['72/2013/nđ-cp']
1424,9c8c3da7fcaafabeb5e1b86a07b199e0,Thẩm quyền quản lý các đơn vị Dân quân tự vệ của Ban chỉ huy quân sự cấp xã ra sao?,"[{'law_id': '72/2020/nđ-cp', 'article_id': '3'}]",21,1,['72/2020/nđ-cp']
1708,2ce594c66b99b9e6ae8c353097fb1e22,"Tập huấn nghiệp vụ kiểm tra về phòng cháy, chữa cháy và cứu nạn, cứu hộ dành cho những đối tượng nào?","[{'law_id': '141/2020/tt-bca', 'article_id': '12'}]",22,1,['141/2020/tt-bca']
905,c1d0ea5f0ddd6284db8deff93172ff52,Sở giao dịch có trách nhiệm gì trong việc quản lý và sử dụng Quỹ thực hiện chính sách tiền tệ quốc gia?,"[{'law_id': '36/2019/tt-nhnn', 'article_id': '8'}]",23,1,['36/2019/tt-nhnn']
454,f32f5652e767e766d5e5dc91df6f17c6,Trường hợp nào áp dụng tiêu chuẩn nước ngoài trong hoạt động xây dựng?,"[{'law_id': '15/2021/nđ-cp', 'article_id': '8'}]",14,1,['15/2021/nđ-cp']
2223,76753043f66c3ad80a732bad49951c2b,"Trang bị cơ sở vật chất, kỹ thuật phục vụ công tác bảo vệ bí mật nhà nước ngành tài nguyên môi trường được quy định như thế nào?","[{'law_id': '11/2017/tt-btnmt', 'article_id': '22'}]",29,1,['11/2017/tt-btnmt']
2238,bdfa673d5959cd14f0294ffa3b5bff49,Tạt axit gây thương tích 5% sẽ bị phạt mức án nào?,"[{'law_id': '12/2017/qh14', 'article_id': '1'}]",12,1,['12/2017/qh14']
2459,ca7f8455a46b270cf23f3711255f8ff7,"Để giám sát bảo vệ mục tiêu, lục lượng cảnh sát có được sử dụng phương tiện, thiết bị kỹ thuật nghiệp vụ không?","[{'law_id': '01/2011/tt-bca', 'article_id': '14'}]",24,1,['01/2011/tt-bca']
2025,ccb52bd55046c50072723a9f6ab7381f,Nguồn kinh phí của Quỹ địa phương trong nguồn kinh phí của Qũy bảo trì đường bộ được quy định như thế nào?,"[{'law_id': '60/2017/tt-btc', 'article_id': '1'}]",23,1,['60/2017/tt-btc']
167,1f548c2d2c84b23aeefffec90bb2b18b,Người tạm đình chỉ có được đề nghị tha tù trước thời hạn không?,"[{'law_id': '41/2019/qh14', 'article_id': '58'}]",14,1,['41/2019/qh14']
730,4bec5033ebca4a829a1ecb0378c9097d,Trách nhiệm của Ngân hàng Nhà nước Việt Nam trong tổ chức và hoạt động Quỹ đầu tư phát triển địa phương là gì?,"[{'law_id': '147/2020/nđ-cp', 'article_id': '51'}]",24,1,['147/2020/nđ-cp']
2306,e00a83c8125ab1e2d400b36ab4a9bddc,Mức phạt khi điều khiển xe ô tô xe chạy quá tốc độ quy định gây tai nạn giao thông,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",20,1,['100/2019/nđ-cp']
1310,72cd520d3533d38a3704602cf0f87232,"Phòng Kinh tế thuộc UBND huyện được giao quản lý về thú y có được thu phí, lệ phí thú y không?","[{'law_id': '101/2020/tt-btc', 'article_id': '3'}]",22,1,['101/2020/tt-btc']
2453,c024caaf38eb8a246b05b0ced63b0827,02 nội dung giám định cổ vật được quy định như thế nào?,"[{'law_id': '03/2019/tt-bvhttdl', 'article_id': '6'}]",13,1,['03/2019/tt-bvhttdl']
26,f87702426ad2b6cdd1080b21d4a03842,"Quy mô của tổ chức trưng bày, giới thiệu và xuất khẩu hàng hóa qua gian hàng chung trên sàn giao dịch thương mại điện tử được quy định như thế nào?","[{'law_id': '11/2019/tt-bct', 'article_id': '9'}]",32,1,['11/2019/tt-bct']
2126,f396ccf70616f8eb0a9c5f903220ae98,Điều kiện kinh doanh hoạt động thể thao bắt buộc có người hướng dẫn tập luyện được quy định như thế nào?,"[{'law_id': '36/2019/nđ-cp', 'article_id': '15'}]",22,1,['36/2019/nđ-cp']
1897,3453f5036840a4a2a184c4e67d359613,Hoạt động phối hợp trong triển lãm là gì?,"[{'law_id': '23/2019/nđ-cp', 'article_id': '3'}]",9,1,['23/2019/nđ-cp']
1652,c7473d3e4ed011c5b9f30b2dc57cf32c,Mức phụ cấp thu hút từ 1/12/2019 là bao nhiêu?,"[{'law_id': '76/2019/nđ-cp', 'article_id': '4'}]",10,1,['76/2019/nđ-cp']
1622,907eb8075eb46caa321ef634ff9cd7c5,Chi phí dự phòng đầu tư xây dựng được xác định như thế nào?,"[{'law_id': '06/2016/tt-bxd', 'article_id': '8'}]",14,1,['06/2016/tt-bxd']
587,520b939a4b13c0c401ed00f8efc3d08b,Vị trí việc làm của công chức do ai phê duyệt?,"[{'law_id': '62/2020/nđ-cp', 'article_id': '7'}]",11,1,['62/2020/nđ-cp']
1401,0a4421dd6a0c61d27e016893778f2c71,"Theo quy định pháp luật, chế độ báo cáo trong hoạt động của các cơ quan hành chính nhà nước là gì?","[{'law_id': '09/2019/nđ-cp', 'article_id': '3'}]",22,1,['09/2019/nđ-cp']
997,1e2e0aab19fc1425d184ade7c2d32d16,Khi nào Công nhân công an được phép chuyển ngành?,"[{'law_id': '49/2019/nđ-cp', 'article_id': '12'}]",10,1,['49/2019/nđ-cp']
1176,18884ae8002101e38a14606e57641b4c,"Thời gian, địa điểm và trình tự thực hiện công khai tài sản chuyên dùng của các đơn vị thuộc Bộ Quốc phòng được quy định như thế nào?","[{'law_id': '26/2019/tt-bqp', 'article_id': '15'}]",29,1,['26/2019/tt-bqp']
1700,449134f8fc79268f7f19e89d0b313e7b,"Trách nhiệm của thuyền viên bị nạn, người biết sự việc và người có liên quan đến vụ tai nạn lao động hàng hải được quy địn như thế nào?","[{'law_id': '37/2018/tt-blđtbxh', 'article_id': '8'}]",30,1,['37/2018/tt-blđtbxh']
1040,1d47bfc92303f89beeeb447b9a5359e1,"Quy định về chi hỗ trợ hoạt động của các đội tuyên truyền lưu động phòng chống tác hại của rượu, bia được quy định như thế nào?","[{'law_id': '24/2020/nđ-cp', 'article_id': '8'}]",28,1,['24/2020/nđ-cp']
33,d64cc7892abd1dfbc3570bf8b0ef3207,Hành vi buộc thành viên gia đình ra khỏi chỗ ở hợp pháp của họ bị xử lý ra sao?,"[{'law_id': '167/2013/nđ-cp', 'article_id': '57'}]",20,1,['167/2013/nđ-cp']
2058,bcb378f13ef05d63ca9e75c22591afc1,"Thẩm quyền phê duyệt dự án tu bổ di tích, báo cáo kinh tế - kỹ thuật tu bổ di tích được quy định như thế nào?","[{'law_id': '166/2018/nđ-cp', 'article_id': '18'}]",27,1,['166/2018/nđ-cp']
2525,cf9c96782463a81d5c304b2de48b3804,"Nội dung đánh giá chạy 30m xuất phát cao của học sinh, sinh viên bao gồm những nội dung nào?","[{'law_id': '53/2008/qđ-bgdđt', 'article_id': '11'}]",20,1,['53/2008/qđ-bgdđt']
1379,7d4e0c1c38c0ef4d51911b7b16c6bdf5,Thủ tục công bố hạn chế giao thông đường thủy nội địa được quy định như thế nào?,"[{'law_id': '08/2021/nđ-cp', 'article_id': '40'}]",18,1,['08/2021/nđ-cp']
41,92de66681a3dbcb6e59b5be351faa3b3,Mức phạt khi đỗ xe ô tô ngược với chiều lưu thông của làn đường ?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",16,1,['100/2019/nđ-cp']
1876,9fad0a30118991a5ffd0ab8c72c58a8a,Mức phạt tiền trong lĩnh vực kế toán được quy định như thế nào?,"[{'law_id': '41/2018/nđ-cp', 'article_id': '6'}]",14,1,['41/2018/nđ-cp']
2285,a5fa4b52648265b8394b7a60e8b5919d,"Nguyên tắc sử dụng kinh phí thực hiện Đề án Hỗ trợ học sinh, sinh viên khởi nghiệp đến năm 2025 được quy định như thế nào?","[{'law_id': '126/2018/tt-btc', 'article_id': '2'}]",27,1,['126/2018/tt-btc']
2338,9609e21d6a3bbb03a9b600207f621682,"Việc chào bán và niêm yết chứng khoán của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán tại nước ngoài quy định như thế nào?","[{'law_id': '155/2020/nđ-cp', 'article_id': '189'}]",30,1,['155/2020/nđ-cp']
2776,d4176e0c59314031a1d0ff97982515c8,"Sử dụng trái phép lòng đường đô thị, hè phố để làm mái che gây cản trở giao thông bị phạt bao nhiêu theo nghị định 100/2019/NĐ-CP?","[{'law_id': '100/2019/nđ-cp', 'article_id': '12'}]",27,1,['100/2019/nđ-cp']
2309,7269e926d01603c54e094d2c75d00722,"Hình thức thông báo, gửi, cung cấp thông tin, tài liệu về tổ chức, cá nhân vi phạm pháp luật của Tòa án và Viện kiểm sát được quy định như thế nào?","[{'law_id': '239/2009/ttlt-btc-vksndtc-tandtc', 'article_id': '4'}]",33,1,['239/2009/ttlt-btc-vksndtc-tandtc']
2059,692b86a7ec698afd18d9c793bf305bb6,Áp dụng biện pháp ngăn chặn đối với các hành vi vi phạm của Cảnh sát biển Việt Nam được quy định như thế nào?,"[{'law_id': '15/2019/tt-bqp', 'article_id': '21'}]",25,1,['15/2019/tt-bqp']
1750,0a8307bac487fe4f9cf001bc2baa14c4,"Thời hạn của giấy chứng nhận sử dụng vũ khí, vật liệu nổ quân dụng, công cụ hỗ trợ được quy định như thế nào?","[{'law_id': '79/2018/nđ-cp', 'article_id': '18'}]",25,1,['79/2018/nđ-cp']
609,328d9014e0f267d53c58eabd30093559,Mức hỗ trợ kinh phí khám bệnh nghề nghiệp áp dụng 15/9/2020 được quy định như thế nào?,"[{'law_id': '88/2020/nđ-cp', 'article_id': '17'}]",18,1,['88/2020/nđ-cp']
1132,2aca28af655ce44b1cdb923210741b4a,Xe đăng ký tạm thời có được chạy ở mọi tuyến đường không?,"[{'law_id': '58/2020/tt-bca', 'article_id': '14'}]",13,1,['58/2020/tt-bca']
28,94c803d8c00a6894b127982bb4cd2fc6,Điều khiển xe máy từ 02 xe trở lên chạy quá tốc độ mà không chấp hành hiệu lệnh dừng xe sẽ bị xử phạt bao nhiêu?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",27,1,['100/2019/nđ-cp']
441,7e487fa9daad4b8ea431e449ce9af532,Hộ kinh doanh có phải sử dụng hoá đơn điện tử không?,"[{'law_id': '119/2018/nđ-cp', 'article_id': '12'}]",12,1,['119/2018/nđ-cp']
665,5a4551c64c4edc920ee2e95322f5128e,Người Mỹ gốc Việt Nam có được đăng ký hộ khẩu thường trú tại Việt Nam ?,"[{'law_id': '35/2014/tt-bca', 'article_id': '6'}]",17,1,['35/2014/tt-bca']
2308,40d94588149ab5b809acdad1729362a6,Ai có thẩm quyền tiếp nhận Thông báo tổ chức triển lãm?,"[{'law_id': '23/2019/nđ-cp', 'article_id': '16'}]",12,1,['23/2019/nđ-cp']
493,ad63205543a04d227b6cb4ddbde4976e,Xác định chỉ tiêu cử tuyển phải đảm bảo những nguyên tắc nào?,"[{'law_id': '141/2020/nđ-cp', 'article_id': '7'}]",13,1,['141/2020/nđ-cp']
1258,473df669d2075d24e1fee72770582935,"Trách nhiệm của chương trình, dự án tài chính vi mô được quy định như thế nào?","[{'law_id': '37/2019/tt-btc', 'article_id': '11'}]",17,1,['37/2019/tt-btc']
1301,68015b3ddb17ad6875b0b7b56c494296,Kinh doanh quán net gần trường học bị phạt bao nhiêu?,"[{'law_id': '158/2013/nđ-cp', 'article_id': '16'}]",11,1,['158/2013/nđ-cp']
2706,1c4f30814cde360b658f29163a2ae7ed,Chi phí tư vấn đầu tư xây dựng được xác định như thế nào?,"[{'law_id': '06/2016/tt-bxd', 'article_id': '8'}]",14,1,['06/2016/tt-bxd']
2522,ea92c7ed66dc93a2247ff9e904a7a0d5,Áp dụng tương tự pháp luật trong quan hệ dân sự được quy định như thế nào?,"[{'law_id': '91/2015/qh13', 'article_id': '6'}]",17,1,['91/2015/qh13']
1382,a93065f99a37cf6d4ceafcbdbcb50848,Xuất khẩu nguồn phóng xạ phải đảm bảo những yêu cầu gì?,"[{'law_id': '142/2020/nđ-cp', 'article_id': '11'}]",12,1,['142/2020/nđ-cp']
1304,faf536d92d1da8bfa45c86e380c60cda,Bộ Tài nguyên và Môi trường có trách nhiệm gì trong quản lý hoạt động giao thông đường thủy nội địa?,"[{'law_id': '08/2021/nđ-cp', 'article_id': '63'}]",21,1,['08/2021/nđ-cp']
236,a95d1d22e11d8b45624d863bb4859baa,"Hồ sơ tham gia nghiên cứu, chế tạo, sản xuất, sửa chữa vũ khí của tổ chức, doanh nghiệp được quy định như thế nào?","[{'law_id': '79/2018/nđ-cp', 'article_id': '10'}]",25,1,['79/2018/nđ-cp']
1985,7603455b6c6f3a0a725bad4888961436,Quy định về Thanh tra đê điều,"[{'law_id': '113/2007/nđ-cp', 'article_id': '9'}]",7,1,['113/2007/nđ-cp']
551,ea422ee680340cc026ddbda9f11b4c1c,Công ty có phải cập nhật thay đổi thành viên trong sổ đăng ký thành viên không?,"[{'law_id': '59/2020/qh14', 'article_id': '48'}]",17,1,['59/2020/qh14']
520,6e5764d93e3f4bdb588360d059126913,Mức phạt đối với hành vi chậm trễ trong việc cứu trợ hàng dự trữ quốc gia được quy định như thế nào?,"[{'law_id': '63/2019/nđ-cp', 'article_id': '44'}]",23,1,['63/2019/nđ-cp']
2366,3a5affe774beaa181f409c2419183781,Khoán chi trong hoạt động khoa học và công nghệ được hiểu như thế nào?,"[{'law_id': '95/2014/nđ-cp', 'article_id': '3'}]",15,1,['95/2014/nđ-cp']
1232,8927191d636927e7c911eee2be13c7ad,"Đã lập di chúc miệng, có thể hủy bỏ không?","[{'law_id': '91/2015/qh13', 'article_id': '629'}]",10,1,['91/2015/qh13']
1138,33c4b71c25521c0e84f205ca1797c3f4,"Thời hạn, ngày phát hành và ngày đến hạn thanh toán của giấy tờ có giá được quy định như thế nào?","[{'law_id': '01/2021/tt-nhnn', 'article_id': '10'}]",22,1,['01/2021/tt-nhnn']
1905,eeed46c41015344646bb3d7512441145,"Các loại báo cáo, thống kê viên chức được quy định như thế nào?","[{'law_id': '07/2019/tt-bnv', 'article_id': '6'}]",14,1,['07/2019/tt-bnv']
720,c49cc6d9c45e50baedf5fbe5cf8c0f3b,Thời hạn gửi báo cáo qua hệ thống thông tin báo cáo của BGDĐT là bao lâu?,"[{'law_id': '19/2020/tt-bgdđt', 'article_id': '7'}]",17,1,['19/2020/tt-bgdđt']
735,70635f8c231af6966ca35c8cad9d407a,"Thương nhân Việt Nam có được làm đại lý mua, bán hàng hóa cho thương nhân nước ngoài không?","[{'law_id': '69/2018/nđ-cp', 'article_id': '50'}]",19,1,['69/2018/nđ-cp']
2828,1ba9f2c2975103a3bdb7f999818987cc,"Sử dụng trái phép lòng đường đô thị, hè phố để bày bán hàng hóa bị phạt bao nhiêu theo nghị định 100/2019/NĐ-CP?","[{'law_id': '100/2019/nđ-cp', 'article_id': '12'}]",23,1,['100/2019/nđ-cp']
592,27fdf6043b39c10e7a6dab6a7ee12101,Mức phạt khi điều khiển ô tô không bật đèn khi sương mù sáng hôm sau là bao nhiêu?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",19,1,['100/2019/nđ-cp']
1303,487de84c8f9890314857d44b20f7f3bf,Hồ sơ về đăng ký thành viên bù trừ chứng khoán Việt Nam được quy định như thế nào?,"[{'law_id': '155/2020/nđ-cp', 'article_id': '159'}]",19,1,['155/2020/nđ-cp']
1387,429827e0fc188c55ddc580db73e3337a,"Bị xử lý ra sao khi thiết lập mạng, cung cấp dịch vụ viễn thông không gửi thông báo chính thức khai thác mạng?","[{'law_id': '15/2020/nđ-cp', 'article_id': '15'}]",24,1,['15/2020/nđ-cp']
2083,ed60aaae26641efa582ba73fb0cdc70e,Nộp báo cáo kết quả tập sự hành nghề công chứng có phải đăng ký kiểm tra kết quả tập sự không?,"[{'law_id': '04/2015/tt-btp', 'article_id': '8'}]",22,1,['04/2015/tt-btp']
2378,e064bf381ca6a8968f7be3c3f22d6f31,"Theo quy định pháp luật, trồng cấy nhân tạo là gì?","[{'law_id': '06/2019/nđ-cp', 'article_id': '3'}]",11,1,['06/2019/nđ-cp']
